Serial No,Kanban Read,Parts Code,Line No,Stock Address,Parts Name,Comment,Length(mm),Quantity,Production Location
SN-792a80749591b20,TC-VO18X0.6(B)_365_7101_50_07495_G2-27_1_200907100529,7495,7101,G2-27,VO18X0.6(B),WITH SLIT,365,50,
SN-adce40749586158,TC-VO18X0.6(B)_365_7101_50_07495_G2-27_2_200907100529,7495,7101,G2-27,VO18X0.6(B),WITH SLIT,365,50,
SN-d611407495dbaca,TC-VO18X0.6(B)_600_7101_50_07495_G1-29_1_200907100529,7495,7101,G2-29,VO18X0.6(B),WITH SLIT,600,50,
SN-4987e07495329da,TC-VO18X0.6(B)_600_7101_50_07495_G1-29_2_200907100529,7495,7101,G2-29,VO18X0.6(B),WITH SLIT,600,50,
SN-b489907515ecc4e,TC-VO20X0.6(B)_180_7101_100_07515_G1-18_1_200907100530,7515,7101,G1-18,VO20X0.6(B),WITH SLIT,180,100,
SN-0ef060751585cd9,TC-VO20X0.6(B)_180_7101_100_07515_G1-18_2_200907100530,7515,7101,G1-18,VO20X0.6(B),WITH SLIT,180,100,
SN-4ae5607515d92c5,TC-VO20X0.6(B)_500_7101_50_07515_G1-19_1_200907100530,7515,7101,G1-19,VO20X0.6(B),WITH SLIT,500,50,
SN-a4905075150c424,TC-VO20X0.6(B)_500_7101_50_07515_G1-19_2_200907100530,7515,7101,G1-19,VO20X0.6(B),WITH SLIT,500,50,
SN-66ce221429b1470,TC-VO22X0.6(B)_360_7101_50_21429_H5-04_1_200907100530,21429,7101,H5-04,VO22X0.6(B),WITH SLIT,360,50,
SN-bf125214293e24f,TC-VO22X0.6(B)_360_7101_50_21429_H5-04_2_200907100530,21429,7101,H5-04,VO22X0.6(B),WITH SLIT,360,50,
SN-8497b214296b796,TC-VO22X0.6(B)_520_7101_50_21429_H5-06_1_200907100530,21429,7101,H5-06,VO22X0.6(B),WITH SLIT,520,50,
SN-af9aa21429b696d,TC-VO22X0.6(B)_520_7101_50_21429_H5-06_2_200907100530,21429,7101,H5-06,VO22X0.6(B),WITH SLIT,520,50,
SN-4e60b21430d94c3,TC-VO24X0.6(B)_260_7101_50_21430_H5-11_1_200907100530,21430,7101,H5-11,VO24X0.6(B),WITH SLIT,260,50,
